Date,Hour,Day,Month,DayOfWeek,Season,PM2_5,PM10,NO,NO2,SO2,CO,O3,NH3,Benzene,Toluene,Xylene,Temperature,Humidity,Wind_Speed,Wind_Direction,Pressure,Rainfall,Visibility,AQI
2020-01-03 00:12:40.396039,23,3,1,4,0,75.9,110.7,38.3,55.8,4.4,2.65,22.8,10.2,1.41,2.43,1.77,19.3,34.9,2.6,122.3,1019.5,0.4,6.7,153.0
2020-01-03 04:35:38.613861,17,3,1,4,0,88.2,116.5,38.4,60.2,11.3,1.12,64.6,27.9,1.49,3.55,2.08,21.8,32.6,3.9,84.3,1022.2,0.1,8.2,194.0
2020-01-03 08:58:36.831683,18,3,1,4,0,82.5,139.9,50.9,63.1,14.0,3.92,64.2,2.3,1.44,2.77,1.32,23.9,28.7,1.6,34.9,1024.3,0.5,8.0,175.0
2020-01-03 13:21:35.049504,17,3,1,4,0,89.4,163.5,71.1,51.7,14.1,2.25,54.7,26.7,2.99,6.01,2.99,21.2,37.2,3.4,155.8,1022.2,0.1,9.9,198.0
2020-01-03 17:44:33.267326,18,3,1,4,0,78.5,100.8,30.9,58.1,2.7,3.58,48.9,4.9,2.99,5.2,2.7,26.9,34.1,2.4,208.9,1022.7,0.2,7.4,161.7
2020-01-03 22:07:31.485148,12,3,1,4,0,105.1,200.3,93.1,52.0,22.0,2.98,33.7,0.0,3.0,6.68,4.32,17.1,48.2,7.1,269.6,1023.9,0.3,7.7,250.3
2020-01-04 02:30:29.702970,3,4,1,5,0,50.1,84.4,16.2,33.1,16.1,1.86,39.8,53.0,1.79,4.48,2.68,13.0,42.0,3.4,3.8,1025.5,0.1,8.0,93.0
2020-01-04 06:53:27.920792,20,4,1,5,0,65.2,99.4,41.8,38.2,18.2,2.97,40.2,12.3,1.63,3.84,2.33,31.3,26.2,4.2,308.8,1021.4,0.2,10.0,117.3
2020-01-04 11:16:26.138613,10,4,1,5,0,72.3,107.8,48.9,56.9,15.3,2.22,21.9,18.7,2.98,8.16,1.61,15.0,47.5,1.8,137.4,1025.1,0.9,7.2,141.0
2020-01-04 15:39:24.356435,12,4,1,5,0,81.7,101.8,78.5,40.7,0.0,1.75,43.6,7.8,4.52,11.73,2.99,19.5,46.1,4.7,264.4,1019.3,0.2,8.7,172.3
2020-01-04 20:02:22.574257,8,4,1,5,0,64.1,123.5,40.8,40.0,28.4,1.41,16.4,28.5,2.53,5.63,3.7,15.0,60.3,6.5,166.9,1016.3,0.1,9.4,115.7
2020-01-05 00:25:20.792079,4,5,1,6,0,43.5,60.7,19.1,38.5,3.3,2.21,33.1,14.3,2.76,5.62,3.35,16.4,62.3,2.7,131.3,1019.4,0.4,9.6,102.6
2020-01-05 04:48:19.009900,22,5,1,6,0,62.0,82.7,38.5,46.2,8.8,3.2,31.8,9.6,1.46,4.24,0.93,23.7,34.3,3.4,348.3,1023.0,0.1,9.3,115.0
2020-01-05 09:11:17.227722,18,5,1,6,0,76.5,103.1,66.6,50.9,0.0,1.74,53.9,12.8,1.28,3.18,1.43,26.3,31.3,4.0,334.8,1028.7,0.3,9.3,155.0
2020-01-05 13:34:15.445544,15,5,1,6,0,89.9,115.6,73.5,53.7,50.5,4.09,63.8,22.7,3.0,8.75,4.23,22.0,41.1,4.6,228.9,1023.4,0.0,8.3,199.7
2020-01-05 17:57:13.663366,9,5,1,6,0,73.5,124.3,27.8,48.5,25.9,3.22,18.5,14.3,1.82,3.79,2.44,12.5,53.5,2.4,332.2,1028.6,0.2,9.5,145.0
2020-01-05 22:20:11.881188,19,5,1,6,0,83.0,144.4,72.6,62.3,5.0,1.2,58.4,4.6,2.24,4.95,1.71,27.1,28.2,5.1,4.0,1020.6,0.1,9.1,176.7
2020-01-06 02:43:10.099009,13,6,1,0,0,88.8,136.6,80.4,64.4,50.9,3.8,49.9,6.4,3.38,6.86,2.75,18.3,45.8,1.8,183.4,1019.5,0.2,7.9,196.0
2020-01-06 07:06:08.316831,10,6,1,0,0,83.7,114.8,81.2,59.8,20.4,1.84,19.1,8.8,2.87,7.98,3.94,15.2,54.2,3.6,337.6,1022.0,2.2,8.4,179.0
2020-01-06 11:29:06.534653,10,6,1,0,0,94.0,114.6,71.6,50.4,8.9,4.29,15.8,10.0,1.68,3.36,1.07,16.3,53.4,3.9,196.5,1023.3,0.1,9.5,213.3
2020-01-06 15:52:04.752475,5,6,1,0,0,60.2,77.8,24.1,36.8,17.8,1.77,34.3,38.7,3.22,6.81,2.63,21.5,49.3,2.5,298.5,1025.6,0.3,9.9,100.7
2020-01-06 20:15:02.970297,2,6,1,0,0,52.0,67.5,12.0,38.8,19.8,3.89,56.9,1.4,3.65,7.6,4.9,20.0,40.5,4.0,12.5,1024.0,0.9,10.2,123.6
2020-01-07 00:38:01.188118,13,7,1,1,0,107.2,176.6,47.4,76.1,1.4,2.61,52.1,27.1,4.58,13.28,5.91,18.6,47.4,2.3,143.3,1024.2,0.0,8.5,257.3
2020-01-07 05:00:59.405940,21,7,1,1,0,73.1,88.1,33.6,50.1,35.5,1.48,21.4,64.7,1.96,4.36,1.9,24.2,38.8,2.2,161.3,1029.3,0.1,10.2,143.7
2020-01-07 09:23:57.623762,1,7,1,1,0,60.4,98.0,24.5,41.5,34.7,1.81,47.7,18.1,2.06,4.88,3.06,21.3,39.7,4.8,165.9,1017.3,1.2,10.9,101.3
2020-01-07 13:46:55.841584,20,7,1,1,0,75.3,109.8,30.8,44.2,21.7,2.81,28.9,24.9,1.4,3.43,1.37,26.0,41.0,4.2,132.2,1024.7,0.0,7.0,151.0
2020-01-07 18:09:54.059405,19,7,1,1,0,74.5,123.9,35.8,46.8,7.3,2.8,42.0,9.8,3.35,8.11,3.19,26.0,37.9,3.0,129.2,1021.0,0.0,9.7,148.3
2020-01-07 22:32:52.277227,6,7,1,1,0,67.6,111.9,34.1,49.5,9.0,1.51,29.6,3.3,3.51,9.74,2.76,15.7,57.0,2.8,16.8,1026.3,0.8,8.8,125.3
2020-01-08 02:55:50.495049,15,8,1,2,0,95.5,193.8,86.8,62.3,0.0,3.65,58.6,5.6,2.38,4.75,2.64,22.5,44.2,3.7,111.8,1024.0,0.6,8.4,218.3
2020-01-08 07:18:48.712871,3,8,1,2,0,64.7,115.7,17.2,30.4,9.6,0.92,37.2,16.3,4.98,8.6,2.81,18.3,43.7,2.5,0.1,1022.2,0.0,9.0,115.7
2020-01-08 11:41:46.930693,18,8,1,2,0,96.7,107.9,36.7,61.6,8.6,0.96,44.8,2.9,2.71,6.13,3.91,22.9,27.6,1.7,73.4,1024.3,0.0,8.3,222.3
2020-01-08 16:04:45.148514,16,8,1,2,0,101.2,125.4,76.2,66.4,15.3,3.02,62.1,10.9,1.53,4.51,1.8,24.2,37.0,3.2,93.1,1024.0,0.6,8.5,237.3
2020-01-08 20:27:43.366336,8,8,1,2,0,80.5,103.0,23.8,50.5,1.8,5.06,27.1,33.1,2.42,4.43,1.82,15.0,57.0,2.7,52.8,1023.8,0.2,8.2,168.3
2020-01-09 00:50:41.584158,1,9,1,3,0,57.7,111.2,22.1,45.7,9.8,1.89,61.7,78.7,2.04,4.88,2.63,20.5,39.8,7.7,4.3,1017.8,1.8,8.7,107.5
2020-01-09 05:13:39.801980,23,9,1,3,0,66.9,110.3,40.6,52.5,6.3,1.2,31.1,11.5,2.92,7.97,2.98,21.2,33.7,5.2,260.6,1025.5,0.4,7.7,123.0
2020-01-09 09:36:38.019801,10,9,1,3,0,102.5,183.9,39.5,68.4,12.7,2.1,28.4,8.6,8.17,18.27,8.88,16.2,55.6,2.1,293.9,1016.7,0.0,7.4,241.7
2020-01-09 13:59:36.237623,21,9,1,3,0,67.6,161.8,40.6,51.1,8.5,1.92,41.8,23.2,4.78,12.81,5.61,24.8,41.7,5.8,230.2,1024.5,0.1,8.4,141.2
2020-01-09 18:22:34.455445,16,9,1,3,0,98.3,191.8,81.3,79.1,22.5,1.82,74.9,14.3,4.01,9.7,4.29,19.4,43.7,4.6,206.5,1024.6,0.2,7.7,227.7
2020-01-09 22:45:32.673267,18,9,1,3,0,98.9,146.4,35.8,61.2,14.6,1.61,52.9,19.8,1.14,2.26,1.36,20.5,42.1,2.4,92.9,1021.8,0.4,6.7,229.7
2020-01-10 03:08:30.891089,18,10,1,4,0,92.0,186.6,42.0,58.1,28.7,2.78,58.6,8.0,4.53,13.13,4.19,25.7,30.8,3.0,336.6,1026.0,0.7,7.6,206.7
2020-01-10 07:31:29.108910,4,10,1,4,0,68.6,108.7,21.1,35.1,34.2,1.83,26.8,42.3,3.28,6.25,3.99,17.0,44.0,3.6,222.8,1024.7,0.1,10.2,128.7
2020-01-10 11:54:27.326732,8,10,1,4,0,82.6,107.2,33.1,45.9,1.1,1.43,24.5,10.0,4.58,9.98,4.7,16.5,49.3,2.6,255.6,1022.9,0.2,6.9,175.3
2020-01-10 16:17:25.544554,11,10,1,4,0,98.7,159.8,51.0,71.8,1.3,1.45,25.8,77.0,0.96,2.71,0.79,17.6,46.0,2.3,23.8,1026.6,0.6,8.2,229.0
2020-01-10 20:40:23.762376,11,10,1,4,0,96.3,183.6,89.6,48.8,3.2,2.3,36.2,11.5,1.57,3.43,1.57,13.5,46.3,3.4,213.7,1018.5,0.9,7.7,221.0
2020-01-11 01:03:21.980198,1,11,1,5,0,42.4,65.3,7.8,28.6,37.7,1.24,55.8,34.4,3.17,8.38,4.61,15.7,42.7,4.6,210.4,1022.8,0.7,10.3,70.7
2020-01-11 05:26:20.198019,13,11,1,5,0,81.7,107.5,88.7,54.0,2.6,3.43,50.5,73.8,1.01,2.19,1.13,18.9,48.3,3.8,48.6,1019.0,0.7,9.5,172.3
2020-01-11 09:49:18.415841,3,11,1,5,0,46.6,91.4,17.0,24.8,11.6,1.08,40.4,19.4,4.82,10.91,2.91,17.3,39.9,8.0,167.0,1021.4,0.7,9.4,91.4
2020-01-11 14:12:16.633663,17,11,1,5,0,78.4,121.3,56.1,50.4,4.9,2.84,56.3,58.6,3.06,8.38,2.48,24.4,38.7,1.7,48.0,1021.9,0.0,8.4,161.3
2020-01-11 18:35:14.851485,16,11,1,5,0,82.0,152.1,69.5,56.5,41.5,3.05,64.7,20.6,2.44,6.21,3.37,25.4,35.2,1.6,37.4,1025.6,0.1,8.4,173.3
2020-01-11 22:58:13.069306,22,11,1,5,0,40.6,50.6,22.5,43.4,47.1,2.4,28.1,45.8,1.45,4.05,1.84,23.5,37.8,3.5,134.5,1023.1,0.5,8.3,105.0
2020-01-12 03:21:11.287128,17,12,1,6,0,73.8,89.1,64.9,49.5,64.1,2.41,46.6,10.2,1.61,3.39,1.46,20.8,33.3,3.4,335.7,1022.7,0.1,10.6,146.0
2020-01-12 07:44:09.504950,8,12,1,6,0,59.4,94.0,21.6,44.9,49.0,1.56,19.1,24.2,1.29,2.47,1.36,13.4,57.5,5.3,137.6,1023.5,0.4,10.1,99.0
2020-01-12 12:07:07.722772,23,12,1,6,0,48.3,88.8,11.9,27.0,48.8,1.43,17.7,74.3,2.0,5.69,1.81,24.3,30.9,3.3,341.2,1023.2,0.2,7.7,88.8
2020-01-12 16:30:05.940594,9,12,1,6,0,69.7,147.3,22.9,38.9,12.0,2.05,15.4,4.0,3.5,6.5,3.37,18.9,56.2,3.6,83.5,1019.1,0.6,9.4,132.3
2020-01-12 20:53:04.158415,7,12,1,6,0,55.3,78.3,22.2,29.1,4.4,4.19,17.2,0.1,1.88,3.03,2.46,13.2,50.3,3.9,146.7,1017.5,0.3,9.2,127.4
2020-01-13 01:16:02.376237,21,13,1,0,0,72.7,115.6,24.0,55.0,30.5,1.53,37.1,5.7,3.52,8.15,3.09,24.3,33.8,5.0,127.6,1023.0,0.1,8.4,142.3
2020-01-13 05:39:00.594059,8,13,1,0,0,78.8,106.5,48.0,49.4,0.0,4.37,29.6,14.7,1.14,2.74,0.96,13.5,48.5,4.7,336.4,1019.5,0.1,8.0,162.7
2020-01-13 10:01:58.811881,1,13,1,0,0,50.8,95.7,9.3,38.2,3.4,1.48,62.3,11.6,0.91,1.44,1.24,20.5,40.1,2.9,211.5,1024.9,0.6,9.9,95.7
2020-01-13 14:24:57.029702,11,13,1,0,0,91.7,156.7,75.8,68.0,47.3,2.12,28.5,2.6,4.02,7.03,5.46,18.7,52.1,3.4,139.1,1027.1,0.0,8.6,205.7
2020-01-13 18:47:55.247524,19,13,1,0,0,84.6,136.5,72.6,62.8,15.4,1.69,48.0,11.7,1.6,2.47,2.4,22.5,28.4,3.4,257.6,1024.2,0.2,9.2,182.0
2020-01-13 23:10:53.465346,4,13,1,0,0,64.4,63.2,29.2,50.1,44.2,0.98,40.3,25.3,2.06,5.86,1.41,18.9,42.2,2.2,235.1,1022.6,0.0,8.0,114.7
2020-01-14 03:33:51.683168,11,14,1,1,0,85.7,112.0,49.1,62.6,79.7,2.31,38.0,17.8,1.45,2.81,0.98,16.1,53.8,2.9,319.1,1026.2,0.1,8.3,185.7
2020-01-14 07:56:49.900990,3,14,1,1,0,53.4,122.6,22.7,33.0,9.5,1.41,47.8,72.9,2.55,7.47,2.66,17.1,41.3,5.7,22.5,1018.1,0.3,9.9,115.1
2020-01-14 12:19:48.118811,16,14,1,1,0,86.6,121.0,36.3,72.4,17.0,2.59,63.8,7.4,5.22,15.06,6.54,25.3,36.9,4.7,264.4,1023.5,0.1,8.6,188.7
2020-01-14 16:42:46.336633,11,14,1,1,0,103.9,147.6,57.3,85.4,12.7,6.0,32.8,13.3,1.51,4.38,0.88,15.0,50.0,1.8,171.8,1019.1,1.7,7.9,246.3
2020-01-14 21:05:44.554455,7,14,1,1,0,78.6,92.0,25.5,44.1,63.2,3.28,24.8,11.0,1.01,2.75,0.62,17.2,48.9,3.8,67.2,1026.4,0.5,7.9,162.0
2020-01-15 01:28:42.772277,5,15,1,2,0,67.0,93.0,19.1,36.1,7.1,1.67,37.9,23.9,1.24,1.95,1.5,15.0,58.8,3.7,50.4,1022.5,0.2,9.3,123.3
2020-01-15 05:51:40.990099,13,15,1,2,0,84.2,106.1,58.0,41.4,5.5,2.24,41.0,8.0,2.28,6.16,2.82,20.7,42.5,3.5,189.9,1020.5,0.5,10.3,180.7
2020-01-15 10:14:39.207920,16,15,1,2,0,101.0,132.7,59.3,45.2,20.6,1.46,59.0,18.3,1.23,2.12,0.86,22.1,37.0,2.9,274.9,1020.4,1.9,7.7,236.7
2020-01-15 14:37:37.425742,22,15,1,2,0,60.4,109.4,21.5,53.6,13.7,1.93,24.3,4.2,1.44,4.13,1.67,26.1,27.2,3.9,349.2,1021.9,0.5,9.2,106.3
2020-01-15 19:00:35.643564,10,15,1,2,0,80.6,127.5,60.5,58.2,19.7,3.49,30.6,25.5,0.78,1.66,0.59,13.9,56.4,4.0,167.4,1025.5,0.2,8.0,168.7
2020-01-15 23:23:33.861386,3,15,1,2,0,56.8,97.3,25.2,30.6,8.6,2.45,47.5,22.3,2.57,5.17,2.42,15.7,36.2,1.9,284.1,1025.7,0.1,7.3,105.6
2020-01-16 03:46:32.079207,19,16,1,3,0,93.8,150.9,54.9,56.1,4.8,1.76,43.1,12.0,3.24,9.59,1.92,27.4,29.6,4.3,88.0,1025.3,0.1,7.4,212.7
2020-01-16 08:09:30.297029,15,16,1,3,0,93.9,147.6,38.9,93.2,82.3,1.53,55.8,15.7,1.43,3.11,1.5,20.5,33.9,1.5,48.7,1022.7,0.7,8.7,213.0
2020-01-16 12:32:28.514851,16,16,1,3,0,94.4,146.4,48.0,65.6,12.7,2.58,60.9,6.9,1.57,4.08,1.38,20.5,34.6,4.9,257.1,1022.0,0.8,8.3,214.7
2020-01-16 16:55:26.732673,2,16,1,3,0,48.4,86.7,16.6,46.9,12.1,1.73,57.8,27.2,2.45,4.02,1.82,24.4,39.1,5.6,249.7,1022.5,0.8,9.8,86.7
2020-01-16 21:18:24.950495,7,16,1,3,0,63.2,76.1,28.7,41.2,6.8,1.65,17.2,10.0,2.91,7.77,3.22,13.0,48.6,4.4,136.3,1026.7,0.1,7.9,110.7
2020-01-17 01:41:23.168316,18,17,1,4,0,80.8,161.2,69.6,72.9,0.0,2.84,50.7,0.0,2.31,6.9,2.79,20.7,38.6,2.4,36.1,1026.2,0.4,10.0,169.3
2020-01-17 06:04:21.386138,19,17,1,4,0,80.4,110.5,39.1,51.3,1.7,2.1,44.0,15.7,2.34,4.87,2.56,25.2,34.8,4.7,3.0,1028.0,0.2,8.6,168.0
2020-01-17 10:27:19.603960,10,17,1,4,0,89.2,96.2,73.0,52.9,16.6,2.5,22.4,19.8,1.85,3.5,1.45,16.0,41.7,3.2,140.7,1023.6,0.1,8.4,197.3
2020-01-17 14:50:17.821782,19,17,1,4,0,82.2,108.8,42.2,48.1,9.0,2.42,45.1,13.8,3.07,6.4,3.09,26.8,39.0,2.9,18.5,1023.6,0.1,8.7,174.0
2020-01-17 19:13:16.039603,20,17,1,4,0,64.2,107.9,34.8,49.5,0.0,1.98,42.4,2.9,2.8,4.67,1.61,27.4,35.8,2.0,147.4,1021.0,0.4,9.9,114.0
2020-01-17 23:36:14.257425,9,17,1,4,0,85.1,127.1,63.1,64.2,24.2,1.32,27.3,11.0,1.44,3.39,1.65,14.7,46.7,3.2,75.3,1025.6,0.6,7.8,183.7
2020-01-18 03:59:12.475247,21,18,1,5,0,55.3,98.1,36.6,37.8,0.0,3.06,28.8,47.5,1.85,3.53,1.01,25.7,32.0,3.0,264.3,1022.1,0.2,8.5,113.2
2020-01-18 08:22:10.693069,6,18,1,5,0,48.3,59.7,22.7,43.6,1.4,1.37,15.2,12.5,2.96,4.83,2.69,16.1,59.6,5.4,93.0,1016.3,0.7,9.0,80.5
2020-01-18 12:45:08.910891,5,18,1,5,0,48.8,109.5,8.0,31.1,26.8,0.63,34.1,9.2,2.94,8.75,2.6,14.1,54.2,5.8,357.3,1020.3,0.3,8.1,106.3
2020-01-18 17:08:07.128712,16,18,1,5,0,85.6,120.2,65.0,55.0,51.9,2.45,50.2,11.8,1.34,2.71,1.27,23.0,48.2,6.0,121.0,1021.7,0.2,9.0,185.3
2020-01-18 21:31:05.346534,15,18,1,5,0,84.0,123.5,74.2,52.5,9.6,3.03,66.7,8.4,2.17,3.39,3.11,24.3,47.0,3.8,251.1,1023.0,0.5,7.5,180.0
2020-01-19 01:54:03.564356,3,19,1,6,0,51.4,89.2,17.6,39.9,0.7,2.1,47.1,28.1,1.81,2.95,1.07,20.6,32.2,2.8,28.6,1029.2,0.3,8.0,101.2
2020-01-19 06:17:01.782178,19,19,1,6,0,61.3,87.6,26.2,51.3,12.8,2.37,48.9,1.2,0.87,2.33,0.57,23.8,38.8,4.2,141.8,1020.8,0.0,10.7,104.6
2020-01-19 10:40:00.000000,4,19,1,6,0,55.0,85.0,19.0,34.1,23.4,1.54,46.3,49.1,4.83,7.39,5.99,18.2,47.2,3.9,165.3,1023.4,0.1,6.7,91.7
2020-01-19 15:02:58.217821,19,19,1,6,0,74.0,130.2,66.0,45.6,35.6,2.31,46.0,0.0,1.85,5.39,1.96,26.5,30.9,3.2,38.4,1024.0,0.4,7.7,146.7
2020-01-19 19:25:56.435643,0,19,1,6,0,45.2,86.0,19.5,29.9,20.8,1.13,62.3,31.7,1.49,3.73,2.15,20.2,30.6,3.3,353.9,1029.0,1.3,8.5,86.0
2020-01-19 23:48:54.653465,19,19,1,6,0,83.9,149.3,44.4,40.4,18.9,1.9,50.0,21.9,2.17,6.5,2.42,25.2,31.1,3.3,31.5,1021.7,0.5,9.5,179.7
2020-01-20 04:11:52.871287,18,20,1,0,0,81.6,117.0,71.1,71.7,13.1,3.3,64.5,33.9,1.77,5.05,2.61,21.6,45.1,5.2,250.5,1018.4,0.3,10.6,172.0
2020-01-20 08:34:51.089108,18,20,1,0,0,88.5,107.3,82.4,45.3,19.9,1.9,66.7,11.2,4.35,11.11,4.25,20.8,41.9,1.8,159.3,1027.8,0.7,5.5,195.0
2020-01-20 12:57:49.306930,15,20,1,0,0,109.4,164.8,84.9,63.4,31.2,2.76,58.1,0.0,3.95,7.82,2.88,19.8,35.0,3.6,147.5,1022.6,0.0,8.7,264.7
2020-01-20 17:20:47.524752,11,20,1,0,0,105.1,136.5,42.5,71.4,17.3,2.07,41.5,44.9,2.19,4.82,2.72,12.4,43.4,5.6,48.6,1022.8,0.1,7.6,250.3
2020-01-20 21:43:45.742574,16,20,1,0,0,92.4,124.8,46.2,49.0,37.0,1.98,47.1,34.3,3.5,8.5,2.6,22.1,43.0,3.8,277.4,1022.4,0.0,8.3,208.0
2020-01-21 02:06:43.960396,6,21,1,1,0,68.5,75.6,32.6,45.4,40.8,1.6,24.3,62.4,2.25,3.94,2.26,15.5,46.2,6.9,133.6,1017.9,0.1,7.9,128.3
2020-01-21 06:29:42.178217,18,21,1,1,0,87.9,138.0,71.2,52.0,53.3,2.18,58.0,68.4,0.96,2.31,1.3,23.1,32.1,3.4,338.3,1026.1,0.4,7.2,193.0
2020-01-21 10:52:40.396039,13,21,1,1,0,99.9,168.6,68.0,67.3,21.8,2.47,38.9,17.6,2.24,5.54,3.13,20.6,43.0,5.2,62.2,1025.1,0.0,7.3,233.0
2020-01-21 15:15:38.613861,11,21,1,1,0,94.9,125.4,44.8,61.4,20.0,2.74,45.6,19.3,1.68,2.81,1.98,17.4,54.6,2.2,359.4,1021.2,0.1,7.3,216.3
2020-01-21 19:38:36.831683,12,21,1,1,0,98.8,131.1,90.9,43.4,5.7,1.19,49.1,18.3,1.54,3.9,2.3,17.9,48.3,3.7,290.3,1022.7,2.2,9.7,229.3
2020-01-22 00:01:35.049504,13,22,1,2,0,99.9,145.5,61.3,73.5,0.0,2.21,45.4,4.1,2.97,7.07,3.25,18.8,35.6,5.9,289.0,1021.5,0.4,9.3,233.0
2020-01-22 04:24:33.267326,0,22,1,2,0,62.9,87.4,39.7,32.8,3.1,1.87,73.2,9.4,6.29,13.27,8.19,19.9,35.6,3.7,58.5,1025.6,0.8,7.6,109.7
2020-01-22 08:47:31.485148,3,22,1,2,0,54.4,107.0,14.6,33.9,17.7,2.51,52.5,62.0,1.51,4.3,2.11,19.0,47.9,3.6,11.6,1024.7,0.2,9.7,106.4
2020-01-22 13:10:29.702970,5,22,1,2,0,57.8,74.4,25.1,41.3,14.2,0.99,33.8,14.7,2.51,7.31,1.63,14.5,47.0,2.2,0.6,1022.9,0.3,7.4,96.3
2020-01-22 17:33:27.920792,2,22,1,2,0,49.8,62.4,8.9,38.5,6.8,0.91,56.9,45.9,2.32,6.37,1.25,17.0,42.6,3.3,269.1,1022.9,0.8,10.1,83.0
2020-01-22 21:56:26.138613,10,22,1,2,0,82.4,139.6,44.8,63.8,31.1,2.54,21.2,12.0,5.88,17.05,7.32,14.7,54.8,3.9,281.7,1020.8,0.3,8.2,174.7
2020-01-23 02:19:24.356435,16,23,1,3,0,101.6,145.9,98.1,73.3,13.8,3.83,61.0,78.8,1.79,4.73,2.55,18.7,28.3,2.8,358.8,1017.7,1.4,7.7,238.7
2020-01-23 06:42:22.574257,15,23,1,3,0,103.9,140.0,93.6,42.2,9.5,1.92,53.5,13.3,5.23,15.54,3.78,18.0,35.2,4.3,48.3,1025.9,0.6,7.5,246.3
2020-01-23 11:05:20.792079,11,23,1,3,0,95.0,172.8,61.8,67.6,5.0,1.19,32.4,50.0,0.89,2.04,0.47,17.5,61.4,4.6,239.1,1027.4,1.0,9.4,216.7
2020-01-23 15:28:19.009900,20,23,1,3,0,81.9,124.4,48.4,52.1,8.3,2.22,40.6,27.0,1.62,2.98,1.21,24.9,30.8,2.7,133.1,1021.8,0.2,7.9,173.0
2020-01-23 19:51:17.227722,13,23,1,3,0,103.8,198.0,51.6,61.5,0.0,1.85,49.0,23.2,3.41,6.54,3.61,16.3,45.3,3.9,120.6,1025.2,1.2,7.9,246.0
2020-01-24 00:14:15.445544,1,24,1,4,0,52.4,101.2,19.7,38.4,5.1,2.7,58.4,0.8,0.77,1.2,0.74,22.5,39.2,4.5,163.6,1025.5,1.5,7.4,108.8
2020-01-24 04:37:13.663366,18,24,1,4,0,84.3,162.1,31.3,68.1,0.0,2.22,68.6,22.8,1.93,3.86,1.5,24.6,30.2,2.2,191.8,1024.1,0.5,7.4,181.0
2020-01-24 09:00:11.881188,13,24,1,4,0,105.1,131.2,69.0,58.3,10.5,1.63,37.7,79.6,1.11,3.32,1.27,15.6,40.7,4.1,233.3,1025.4,0.0,8.4,250.3
2020-01-24 13:23:10.099009,15,24,1,4,0,89.5,146.9,59.3,81.2,17.7,1.82,47.4,10.3,1.12,3.07,0.95,20.0,43.5,2.0,205.8,1022.2,1.0,7.5,198.3
2020-01-24 17:46:08.316831,13,24,1,4,0,98.2,121.5,69.7,78.6,11.2,2.76,42.3,0.0,5.24,9.71,7.84,19.7,49.3,5.7,270.0,1020.1,1.2,9.3,227.3
2020-01-24 22:09:06.534653,13,24,1,4,0,99.4,158.5,68.6,70.8,14.1,2.28,47.5,19.3,3.67,6.04,2.87,20.0,42.8,3.3,51.5,1022.3,0.7,8.1,231.3
2020-01-25 02:32:04.752475,2,25,1,5,0,49.0,86.0,27.0,25.3,3.2,1.47,51.7,0.0,2.42,6.43,2.71,21.2,40.8,1.9,278.7,1023.1,0.1,8.0,86.0
